"","file","kw","kw.sub","ref"
"259","Furayḥa, 1955. naḥw ʿarabiyya muyassara.md","diglossia",NA,"Furayḥa (1955)"
"260","Furayḥa, 1955. naḥw ʿarabiyya muyassara.md","language-planning",NA,"Furayḥa (1955)"
"261","Furayḥa, 1955. naḥw ʿarabiyya muyassara.md","language-ideology","primary-source","Furayḥa (1955)"
"262","Furayḥa, 1955. naḥw ʿarabiyya muyassara.md","Arabic",NA,"Furayḥa (1955)"
"263","Geramanos, 2015. Is Religious Affiliation a Key Factor of Language Variation in Arabic-Speaking Countries?.md","Arabic",NA,"Geramanos (2015)"
"264","Geramanos, 2015. Is Religious Affiliation a Key Factor of Language Variation in Arabic-Speaking Countries?.md","sociolinguistics",NA,"Geramanos (2015)"
"265","Greis, 2015. Quantitative Linguistics.md","statistics",NA,"Greis (2015)"
"266","Grief, 1980. Hi, thanks, and goodby.md","pragmatics",NA,"Grief (1980)"
"267","Gully, 1993. The changing face of modern written Arabic - an update.md","Arabic","Standard","Gully (1993)"
"268","Gully, 1997. Arabic linguistic issues and controverisies.md","Arabic",NA,"Gully (1997)"
"269","Gully, 1997. Arabic linguistic issues and controverisies.md","language-ideology",NA,"Gully (1997)"
"270","Gumperz, 2001. The Speech Community.md","standard-language",NA,"Gumperz (2001)"
"271","Hachemi, 2013. The Maghreb-Mashreq language ideology and the politics of identity in a globalized Arab world.md","language-ideology",NA,"Hachemi (2013)"
"272","Hachemi, 2013. The Maghreb-Mashreq language ideology and the politics of identity in a globalized Arab world.md","Arabic",NA,"Hachemi (2013)"
"273","Haeri, 1996. Conceptualizing Heterogeneity in Arabic.md","Arabic",NA,"Haeri (1996)"
"274","Haeri, 1996. Conceptualizing Heterogeneity in Arabic.md","diglossia",NA,"Haeri (1996)"
"275","Haeri, 1997. The Reproduction of Symbolic Capital - Language, State, and Class in Egypt.md","language-ideology",NA,"Haeri (1997)"
"276","Haeri, 1997. The Reproduction of Symbolic Capital - Language, State, and Class in Egypt.md","Arabic",NA,"Haeri (1997)"
"277","Haeri, 1997. The Reproduction of Symbolic Capital - Language, State, and Class in Egypt.md","Egypt",NA,"Haeri (1997)"
"278","Haeri, 1997. The sociolinguistic market of Cairo.md","sociolinguistics",NA,"Haeri (1997)"
"279","Haeri, 1997. The sociolinguistic market of Cairo.md","diglossia",NA,"Haeri (1997)"
"280","Haeri, 1997. The sociolinguistic market of Cairo.md","Arabic",NA,"Haeri (1997)"
"281","Haeri, 1997. The sociolinguistic market of Cairo.md","Egypt",NA,"Haeri (1997)"
"282","Haeri, 2000. Form and Ideology - Arabic Sociolinguistics and Beyond.md","Arabic",NA,"Haeri (2000)"
"283","Haeri, 2000. Form and Ideology - Arabic Sociolinguistics and Beyond.md","sociolinguistics",NA,"Haeri (2000)"
"284","Haeri, 2000. Form and Ideology - Arabic Sociolinguistics and Beyond.md","diglossia",NA,"Haeri (2000)"
"285","Haeri, 2000. Form and Ideology - Arabic Sociolinguistics and Beyond.md","review-article",NA,"Haeri (2000)"
"286","Haeri, 2003. Sacred Language Ordinary People.md","Arabic",NA,"Haeri (2003)"
"287","Haeri, 2003. Sacred Language Ordinary People.md","diglossia",NA,"Haeri (2003)"
"288","Haeri, 2003. Sacred Language Ordinary People.md","language-ideology",NA,"Haeri (2003)"
"289","Haeri, 2003. Sacred Language Ordinary People.md","icraab",NA,"Haeri (2003)"
"290","Haeri, 2003. Sacred Language Ordinary People.md","Egypt",NA,"Haeri (2003)"
"291","Hall, 2013. Acoustic differences between lexical and epenthetic vowels in Lebanese Arabic.md","Arabic",NA,"Hall (2013)"
"292","Hall, 2013. Acoustic differences between lexical and epenthetic vowels in Lebanese Arabic.md","prosody",NA,"Hall (2013)"
"293","Halliday, 1994. Spoken and written language.md","standard-language",NA,"Halliday (1994)"
"294","Hammond, 2007. Popular Culture in the Arab World.md","Aljazeera",NA,"Hammond (2007)"
"295","Hammond, 2007. Popular Culture in the Arab World.md","media",NA,"Hammond (2007)"
"296","Hammond, 2007. Popular Culture in the Arab World.md","popular-culture",NA,"Hammond (2007)"
"297","Harrell, 1964. A Linguistic Analysis of Egyptian Radio Arabic.md","Arabic","Standard","Harrell (1964)"
"298","Harrell, 1964. A Linguistic Analysis of Egyptian Radio Arabic.md","icraab",NA,"Harrell (1964)"
"299","Harrell, 1964. A Linguistic Analysis of Egyptian Radio Arabic.md","pause",NA,"Harrell (1964)"
"300","Hary, 1996. The Imprtance of the Language Continuum in Arabic Multiglossa.md","Arabic",NA,"Hary (1996)"
"301","Hary, 1996. The Imprtance of the Language Continuum in Arabic Multiglossa.md","diglossia",NA,"Hary (1996)"
"302","Haugen, 1966. Dialect, Language, Nation.md","standard-language",NA,"Haugen (1966)"
"303","Havránek, 1982. Zum Problem der Norm in der heutigen Sprachwissenschaft und Sprachkultur.md","standard-language",NA,"Havránek (1982)"
"304","Hawkins, 1983. Diglossia revisited.md","diglossia",NA,"Hawkins (1983)"
"305","Hedden, 2007. Arabic names.md","Arabic",NA,"Hedden (2007)"
"306","Heritage, 1985. Analyzing the News Interview.md","media",NA,"Heritage (1985)"
"307","Hermena, 2014. Processing of Arabic diacritical marks.md","eye-tracking",NA,"Hermena (2014)"
"308","Hermena, 2014. Processing of Arabic diacritical marks.md","Arabic",NA,"Hermena (2014)"
"309","Hermena, 2014. Processing of Arabic diacritical marks.md","reading",NA,"Hermena (2014)"
"310","Hermena, 2014. Processing of Arabic diacritical marks.md","syntax",NA,"Hermena (2014)"
"311","Hermena, 2014. Processing of Arabic diacritical marks.md","orthography",NA,"Hermena (2014)"
"312","Hjärpe, 2013. Zetterstéens koranöversättning ur ett idéhistorkiskt perspektiv.md","Arabic",NA,"Hjärpe (2013)"
"313","Hjärpe, 2013. Zetterstéens koranöversättning ur ett idéhistorkiskt perspektiv.md","Swedish",NA,"Hjärpe (2013)"
"314","Hjärpe, 2013. Zetterstéens koranöversättning ur ett idéhistorkiskt perspektiv.md","quran",NA,"Hjärpe (2013)"
"315","Holes, 1993. The uses of variation - a study of the political speeches of Gamal Abd al-Nasir.md","Arabic",NA,"Holes (1993)"
"316","Holes, 1993. The uses of variation - a study of the political speeches of Gamal Abd al-Nasir.md","diglossia",NA,"Holes (1993)"
"317","Holes, 1993. The uses of variation - a study of the political speeches of Gamal Abd al-Nasir.md","code-switching",NA,"Holes (1993)"
"318","Holes, 2004. Modern Arabic.md","Arabic",NA,"Holes (2004)"
"319","Holes, 2004. Modern Arabic.md","icraab",NA,"Holes (2004)"
"320","Holes, 2014. Orality, Culture, and Language.md","Arabic",NA,"Holes (2014)"
"321","Holes, 2014. Orality, Culture, and Language.md","diglossia",NA,"Holes (2014)"
"322","Holes, 2014. Orality, Culture, and Language.md","popular-culture",NA,"Holes (2014)"
"323","Hudson, 1992. Diglossia - A Bibliographic Review.md","diglossia",NA,"Hudson (1992)"
"324","Hudson, 2002. Outline of a theory of diglossia.md","diglossia",NA,"Hudson (2002)"
"325","Håkon Jar, 2012. High and Low in Norwegian.md","language-planning",NA,"Håkon Jar (2012)"
"326","Håkon Jar, 2012. High and Low in Norwegian.md","standard-language",NA,"Håkon Jar (2012)"
"327","Høigilt, 2018. Everybody Can write.md","Arabic",NA,"Høigilt (2018)"
"328","Høigilt, 2018. Everybody Can write.md","diglossia",NA,"Høigilt (2018)"
"329","Høigilt, 2018. Everybody Can write.md","language-ideology",NA,"Høigilt (2018)"
"330","Høigilt, 2018. Everybody Can write.md","popular-culture",NA,"Høigilt (2018)"
"331","Ibrahim, 1983. Linguistic Distance and Literacy in Arabic.md","diglossia",NA,"Ibrahim (1983)"
"332","Ibrahim, 1983. Linguistic Distance and Literacy in Arabic.md","Arabic",NA,"Ibrahim (1983)"
"333","Ibrahim, 1983. Linguistic Distance and Literacy in Arabic.md","literacy",NA,"Ibrahim (1983)"
"334","Ibrahim, 1986. Standard and Prestige Language - a problem in Arabic sociolinguistics.md","diglossia",NA,"Ibrahim (1986)"
"335","Ibrahim, 1986. Standard and Prestige Language - a problem in Arabic sociolinguistics.md","Arabic",NA,"Ibrahim (1986)"
"336","Ibrahim, 1986. Standard and Prestige Language - a problem in Arabic sociolinguistics.md","sociolinguistics",NA,"Ibrahim (1986)"
"337","Ibrahim, 1989. Communicating in Arabic - problems and prospects.md","Arabic",NA,"Ibrahim (1989)"
"338","Ibrahim, 1989. Communicating in Arabic - problems and prospects.md","diglossia",NA,"Ibrahim (1989)"
"339","Ibrahim, 1989. Communicating in Arabic - problems and prospects.md","language-planning",NA,"Ibrahim (1989)"
"340","Ibrahim, 2002. The Characteristics of Arabic Orthography Slow its Processing.md","reading",NA,"Ibrahim (2002)"
"341","Ibrahim, 2002. The Characteristics of Arabic Orthography Slow its Processing.md","Arabic",NA,"Ibrahim (2002)"
"342","Ibrahim, 2007. Metalinguistic Awareness and Reading Performance - A Cross Language Comparison.md","reading",NA,"Ibrahim (2007)"
"343","Ibrahim, 2007. Metalinguistic Awareness and Reading Performance - A Cross Language Comparison.md","Arabic",NA,"Ibrahim (2007)"
"344","Irmen, 2011. Processing grammatical gender of role nouns - Further evidence from eye movements.md","reading",NA,"Irmen (2011)"
"345","Irmen, 2011. Processing grammatical gender of role nouns - Further evidence from eye movements.md","eye-tracking",NA,"Irmen (2011)"
"346","Irmen, 2011. Processing grammatical gender of role nouns - Further evidence from eye movements.md","German",NA,"Irmen (2011)"
"347","Irmen, 2011. Processing grammatical gender of role nouns - Further evidence from eye movements.md","syntax",NA,"Irmen (2011)"
"348","Irvine, 2001. Formality and Informality in Communicative Events.md","formality",NA,"Irvine (2001)"
"349","Irvine, 2001. Formality and Informality in Communicative Events.md","anthropology",NA,"Irvine (2001)"
"350","Irvine, 2001. Language Ideology and Linguistic Differentiation.md","language-ideology",NA,"Irvine (2001)"
"351","Ismail, 2012. Sociocultural Identity and Arab Women’s and Men’s Code-Choice in the Context of Patriarchy.md","Arabic",NA,"Ismail (2012)"
"352","Ismail, 2012. Sociocultural Identity and Arab Women’s and Men’s Code-Choice in the Context of Patriarchy.md","sociolinguistics",NA,"Ismail (2012)"
"353","Jaeger, 2008. Categorical Data analysis - Away From ANOVAs (Transformation or not) and towards Logit Mixed Models.md","statistics",NA,"Jaeger (2008)"
"354","Jedlička, 1982. Theorie der Literatursprache.md","standard-language",NA,"Jedlička (1982)"
"355","Jordan, 2014. Reading Direction and the Central Perceptual Span - Evidence from Arabic and English.md","eye-tracking",NA,"Jordan (2014)"
"356","Jordan, 2014. Reading Direction and the Central Perceptual Span - Evidence from Arabic and English.md","reading",NA,"Jordan (2014)"
"357","Kaye, 1972. Remarks on diglossia in Arabic - well-defined vs.md","Arabic","Standard","Kaye (1972)"
"358","Kaye, 1972. Remarks on diglossia in Arabic - well-defined vs.md","icraab",NA,"Kaye (1972)"
"359","Kaye, 1991. The Hamzat al-Waṣl in Contemporary Modern Standard Arabic.md","Arabic",NA,"Kaye (1991)"
"360","Kaye, 1991. The Hamzat al-Waṣl in Contemporary Modern Standard Arabic.md","phonology",NA,"Kaye (1991)"
"361","Kaye, 1994. Formal vs. Informal Arabic.md","Arabic","Standard","Kaye (1994)"
"362","Kaye, 1994. Formal vs. Informal Arabic.md","diglossia",NA,"Kaye (1994)"
"419","Khaldieh, 2001. The Relationship between Knowledge of Icraab, Lexical Knowledge, and Reading Comprehension of Nonnative Readers of Arabic.md","icraab",NA,"Khaldieh (2001)"
"420","Khaldieh, 2001. The Relationship between Knowledge of Icraab, Lexical Knowledge, and Reading Comprehension of Nonnative Readers of Arabic.md","language-instruction",NA,"Khaldieh (2001)"
"421","Khaldieh, 2001. The Relationship between Knowledge of Icraab, Lexical Knowledge, and Reading Comprehension of Nonnative Readers of Arabic.md","SLA",NA,"Khaldieh (2001)"
"422","Khaldieh, 2001. The Relationship between Knowledge of Icraab, Lexical Knowledge, and Reading Comprehension of Nonnative Readers of Arabic.md","Arabic","Standard","Khaldieh (2001)"
"423","Killean, 1970. Classical Arabic.md","ALT",NA,"Killean (1970)"
"424","Killean, 1970. Classical Arabic.md","Arabic",NA,"Killean (1970)"
"425","Killean, 1984. The Development of Western Grammars of Arabic.md","Arabic",NA,"Killean (1984)"
"426","Kissine, 2018. Noncolloquial Arabic in Tunisian Children With Autism Spectrum Disorder.md","Arabic","Standard","Kissine (2018)"
"427","Kissine, 2018. Noncolloquial Arabic in Tunisian Children With Autism Spectrum Disorder.md","FLA",NA,"Kissine (2018)"
"428","Klimiuk, 2013. Phonetics and phonology of Damascus Arabic.md","Arabic","Syrian","Klimiuk (2013)"
"429","Klimiuk, 2013. Phonetics and phonology of Damascus Arabic.md","prosody",NA,"Klimiuk (2013)"
"430","Kormos, 2004. Exploring measures of percieved fluency.md","prosody",NA,"Kormos (2004)"
"431","Kormos, 2004. Exploring measures of percieved fluency.md","SLA",NA,"Kormos (2004)"
"432","Kotsisnas, 1988. Immigrant children’s Swedish.md","Swedish",NA,"Kotsisnas (1988)"
"433","Kyle, 2016. The text matters.md","eye-tracking",NA,"Kyle (2016)"
"434","Kyle, 2016. The text matters.md","reading",NA,"Kyle (2016)"
"435","Labov, 1972. Sociolingustic Patterns.md","sociolinguistics",NA,"Labov (1972)"
"436","Lehtonen, 1982. Non-Verbal Aspects of Impromptue Speech.md","speech",NA,"Lehtonen (1982)"
"437","Lieberman, 1980. Orthography and the beginning reader.md","orthography",NA,"Lieberman (1980)"
"438","Lieberman, 1980. Orthography and the beginning reader.md","reading",NA,"Lieberman (1980)"
"439","Lieberman, 1980. Orthography and the beginning reader.md","FLA",NA,"Lieberman (1980)"
"440","Lippi-Green, 1997. English with an Accent.md","standard-language",NA,"Lippi-Green (1997)"
"441","Lippi-Green, 1997. English with an Accent.md","English",NA,"Lippi-Green (1997)"
"442","Lippi-Green, 1997. English with an Accent.md","language-ideology",NA,"Lippi-Green (1997)"
"443","Lynch, 2006. Voices of the new Arab public - Iraq, al-Jazeera, and Middle East politics today.md","Aljazeera",NA,"Lynch (2006)"
"444","Lynch, 2006. Voices of the new Arab public - Iraq, al-Jazeera, and Middle East politics today.md","media",NA,"Lynch (2006)"
"445","Maamouri, 1998. Language Education and Human Development - Arabic Diglossia and Its Impact on the Quality of Education in the Arab Region.md","diglossia",NA,"Maamouri (1998)"
"446","Maamouri, 1998. Language Education and Human Development - Arabic Diglossia and Its Impact on the Quality of Education in the Arab Region.md","Arabic",NA,"Maamouri (1998)"
"447","Maamouri, 1998. Language Education and Human Development - Arabic Diglossia and Its Impact on the Quality of Education in the Arab Region.md","language-instruction",NA,"Maamouri (1998)"
"448","Maamouri, 1998. Language Education and Human Development - Arabic Diglossia and Its Impact on the Quality of Education in the Arab Region.md","FLA",NA,"Maamouri (1998)"
"449","Maamouri, 1998. Language Education and Human Development - Arabic Diglossia and Its Impact on the Quality of Education in the Arab Region.md","literacy",NA,"Maamouri (1998)"
"450","Maamouri, 2006. Literacy.md","Arabic",NA,"Maamouri (2006)"
"451","Maamouri, 2006. Literacy.md","FLA",NA,"Maamouri (2006)"
"452","Maamouri, 2006. Literacy.md","diglossia",NA,"Maamouri (2006)"
"453","Maamouri, 2006. Literacy.md","orthography",NA,"Maamouri (2006)"
"454","Maamouri, 2006. Literacy.md","literacy",NA,"Maamouri (2006)"
"455","Magidow, 2012. Explaining Inconsistent Case Marking in Spoken Formal Arabic.md","Arabic","Standard","Magidow (2012)"
"456","Magidow, 2012. Explaining Inconsistent Case Marking in Spoken Formal Arabic.md","icraab",NA,"Magidow (2012)"
"457","Matar, 1966. Laḥn al-ʿāmma fī ḍawʾ ad-dirāsāt al-luġawiyya al-ḥadīṯa.md","Arabic",NA,"Matar (1966)"
"458","Matar, 1966. Laḥn al-ʿāmma fī ḍawʾ ad-dirāsāt al-luġawiyya al-ḥadīṯa.md","ALT",NA,"Matar (1966)"
"459","Matar, 1966. Laḥn al-ʿāmma fī ḍawʾ ad-dirāsāt al-luġawiyya al-ḥadīṯa.md","icraab",NA,"Matar (1966)"
"460","Matar, 1966. Laḥn al-ʿāmma fī ḍawʾ ad-dirāsāt al-luġawiyya al-ḥadīṯa.md","language-ideology",NA,"Matar (1966)"
"461","Mazraani, 1997. Aspects of Language Variation in Arabic Political Speech-making.md","code-switching",NA,"Mazraani (1997)"
"462","Mazraani, 1997. Aspects of Language Variation in Arabic Political Speech-making.md","diglossia",NA,"Mazraani (1997)"
"463","Mazraani, 1997. Aspects of Language Variation in Arabic Political Speech-making.md","Arabic",NA,"Mazraani (1997)"
"464","McKelvie, 2004. The Syntax of Disfluency in Spontaneous Spoken Language.md","speech",NA,"McKelvie (2004)"
"465","McKelvie, 2004. The Syntax of Disfluency in Spontaneous Spoken Language.md","syntax",NA,"McKelvie (2004)"
"466","Meiseles, 1977. Restitution of ‘word-endings’ in Modern Literary Arabic.md","icraab",NA,"Meiseles (1977)"
"467","Meiseles, 1977. Restitution of ‘word-endings’ in Modern Literary Arabic.md","Arabic","Standard","Meiseles (1977)"
"468","Meiseles, 1977. Restitution of ‘word-endings’ in Modern Literary Arabic.md","speech",NA,"Meiseles (1977)"
"469","Meiseles, 1979. Informal written Arabic - A preliminary evaluation of data.md","Arabic","Standard","Meiseles (1979)"
"470","Meiseles, 1979. Informal written Arabic - A preliminary evaluation of data.md","writing",NA,"Meiseles (1979)"
"471","Meiseles, 1980. Educated Spoken Arabic and the Arabic Language Continuum.md","Arabic","Standard","Meiseles (1980)"
"472","Meiseles, 1980. Educated Spoken Arabic and the Arabic Language Continuum.md","diglossia",NA,"Meiseles (1980)"
"473","Meiseles, 1980. Educated Spoken Arabic and the Arabic Language Continuum.md","icraab",NA,"Meiseles (1980)"
"474","Meiseles, 1980. Educated Spoken Arabic and the Arabic Language Continuum.md","speech",NA,"Meiseles (1980)"
"475","Mejdell, 2006. Mixed styles in spoken Arabic in Egypt - somewhere between order and chaos.md","Arabic",NA,"Mejdell (2006)"
"476","Mejdell, 2006. Mixed styles in spoken Arabic in Egypt - somewhere between order and chaos.md","diglossia",NA,"Mejdell (2006)"
"477","Mejdell, 2006. Mixed styles in spoken Arabic in Egypt - somewhere between order and chaos.md","Egypt",NA,"Mejdell (2006)"
"478","Mejdell, 2006. Mixed styles in spoken Arabic in Egypt - somewhere between order and chaos.md","speech",NA,"Mejdell (2006)"
"479","Mejdell, 2008. Is Modern Fusha a ‘Standard’ Language?.md","Arabic","Standard","Mejdell (2008)"
"480","Mejdell, 2008. Is Modern Fusha a ‘Standard’ Language?.md","standard-language",NA,"Mejdell (2008)"
"481","Mejdell, 2008. What is happening to lughatunā l-gamīla?.md","Arabic",NA,"Mejdell (2008)"
"482","Mejdell, 2008. What is happening to lughatunā l-gamīla?.md","language-ideology",NA,"Mejdell (2008)"
"483","Mejdell, 2017. Changing norms, concepts and practices of Written Arabic.md","Arabic",NA,"Mejdell (2017)"
"484","Mejdell, 2017. Changing norms, concepts and practices of Written Arabic.md","language-ideology",NA,"Mejdell (2017)"
"485","Mejdell, 2017. Changing norms, concepts and practices of Written Arabic.md","language-planning",NA,"Mejdell (2017)"
"486","Miller, 2010. Arabic sociolinguistics in the Middle East and North Africa (MENA).md","Arabic",NA,"Miller (2010)"
"487","Miller, 2010. Arabic sociolinguistics in the Middle East and North Africa (MENA).md","review-article",NA,"Miller (2010)"
"488","Miller, 2010. Arabic sociolinguistics in the Middle East and North Africa (MENA).md","sociolinguistics",NA,"Miller (2010)"
"489","Milo, 2002. Arabic Script and Typography.md","Arabic",NA,"Milo (2002)"
"490","Milo, 2002. Arabic Script and Typography.md","typography",NA,"Milo (2002)"
"491","Milroy, 1991. Authority in language.md","English",NA,"Milroy (1991)"
"492","Milroy, 1991. Authority in language.md","language-ideology",NA,"Milroy (1991)"
"493","Milroy, 1991. Authority in language.md","standard-language",NA,"Milroy (1991)"
"494","Milroy, 1999. The Consequences of Standardisation in Descriptive Linguistics.md","standard-language",NA,"Milroy (1999)"
"495","Milroy, 1999. The Consequences of Standardisation in Descriptive Linguistics.md","language-ideology",NA,"Milroy (1999)"
"496","Milroy, 2007. The Ideology of the Standard Language.md","standard-language",NA,"Milroy (2007)"
"497","Milroy, 2007. The Ideology of the Standard Language.md","language-ideology",NA,"Milroy (2007)"
"498","Mitchell, 1980. Dimensions of Style in a Grammar of Educated Spoken Arabic.md","Arabic",NA,"Mitchell (1980)"
"499","Mitchell, 1980. Dimensions of Style in a Grammar of Educated Spoken Arabic.md","diglossia",NA,"Mitchell (1980)"
"500","Mitchell, 1980. Dimensions of Style in a Grammar of Educated Spoken Arabic.md","speech",NA,"Mitchell (1980)"
"501","Mitchell, 1986. What is educated standard Arabic?.md","diglossia",NA,"Mitchell (1986)"
"502","Mitchell, 1986. What is educated standard Arabic?.md","icraab",NA,"Mitchell (1986)"
"503","Mitchell, 1986. What is educated standard Arabic?.md","Arabic",NA,"Mitchell (1986)"
"504","Mitchell, 1986. What is educated standard Arabic?.md","speech",NA,"Mitchell (1986)"
"505","Montrgomery, 2008. The Discourse of the News Interview.md","media",NA,"Montrgomery (2008)"
"506","Montrul, 2010. Current Issues in Heritage Language Acquisition.md","heritage-speakers",NA,"Montrul (2010)"
"507","Mughazy, 2005. Reading Despite Ambiguity - The Role of Metacognitive Strategies in Reading Arabic Authentic texts.md","reading",NA,"Mughazy (2005)"
"508","Mughazy, 2005. Reading Despite Ambiguity - The Role of Metacognitive Strategies in Reading Arabic Authentic texts.md","orthography",NA,"Mughazy (2005)"
"509","Mughazy, 2005. Reading Despite Ambiguity - The Role of Metacognitive Strategies in Reading Arabic Authentic texts.md","icraab",NA,"Mughazy (2005)"
"510","Mughazy, 2005. Reading Despite Ambiguity - The Role of Metacognitive Strategies in Reading Arabic Authentic texts.md","Arabic","Standard","Mughazy (2005)"
"511","Myhill, 2014. The Effect of Diglossia on Literacy in Arabic and Other Languages.md","Arabic",NA,"Myhill (2014)"
"512","Myhill, 2014. The Effect of Diglossia on Literacy in Arabic and Other Languages.md","diglossia",NA,"Myhill (2014)"
"513","Myhill, 2014. The Effect of Diglossia on Literacy in Arabic and Other Languages.md","FLA",NA,"Myhill (2014)"
"514","Myhill, 2014. The Effect of Diglossia on Literacy in Arabic and Other Languages.md","literacy",NA,"Myhill (2014)"
"515","Nelson, 1985. The art of reciting the Qurʾan.md","Arabic","Standard","Nelson (1985)"
"516","Nelson, 1985. The art of reciting the Qurʾan.md","reading",NA,"Nelson (1985)"
"517","Nelson, 1985. The art of reciting the Qurʾan.md","quran",NA,"Nelson (1985)"
"518","Nelson, 1985. The art of reciting the Qurʾan.md","pause",NA,"Nelson (1985)"
"519","Newman, 2013. The Arabic Literary Language.md","ALT",NA,"Newman (2013)"
"520","Newman, 2013. The Arabic Literary Language.md","Arabic","Standard","Newman (2013)"
"521","Newman, 2013. The Arabic Literary Language.md","writing",NA,"Newman (2013)"
"522","Newman, 2013. The Arabic Literary Language.md","historical-linguistics",NA,"Newman (2013)"
"523","Ni, 1998. Anomalyi Detection - Eye Movementi Patterns.md","syntax",NA,"Ni (1998)"
"524","Ni, 1998. Anomalyi Detection - Eye Movementi Patterns.md","reading",NA,"Ni (1998)"
"525","Ni, 1998. Anomalyi Detection - Eye Movementi Patterns.md","eye-tracking",NA,"Ni (1998)"
"526","Nielsen, 2009. Second language teaching.md","language-instruction",NA,"Nielsen (2009)"
"527","Nielsen, 2009. Second language teaching.md","SLA",NA,"Nielsen (2009)"
"528","Nielsen, 2009. Second language teaching.md","diglossia",NA,"Nielsen (2009)"
"529","Nielsen, 2009. Second language teaching.md","Arabic",NA,"Nielsen (2009)"
"530","Omar, 1973. The Acquisition of Egyptian Arabic as a native language.md","Arabic","Egyptian","Omar (1973)"
"531","Omar, 1973. The Acquisition of Egyptian Arabic as a native language.md","FLA",NA,"Omar (1973)"
"532","Owens, 1987. The lexical basis of variation in Jordanian Arabic.md","Arabic",NA,"Owens (1987)"
"533","Owens, 1987. The lexical basis of variation in Jordanian Arabic.md","diglossia",NA,"Owens (1987)"
"534","Owens, 1987. The lexical basis of variation in Jordanian Arabic.md","speech",NA,"Owens (1987)"
"535","Owens, 1988. The Foundations of Grammar.md","Arabic",NA,"Owens (1988)"
"536","Owens, 1988. The Foundations of Grammar.md","ALT",NA,"Owens (1988)"
"537","Owens, 1991. Spoken Arabic Language Mixture.md","code-switching",NA,"Owens (1991)"
"538","Owens, 1991. Spoken Arabic Language Mixture.md","Arabic",NA,"Owens (1991)"
"539","Owens, 1991. Spoken Arabic Language Mixture.md","speech",NA,"Owens (1991)"
"540","Owens, 1998. Case in Proto-Arabic.md","Arabic",NA,"Owens (1998)"
"541","Owens, 1998. Case in Proto-Arabic.md","icraab",NA,"Owens (1998)"
"542","Owens, 1998. Case in Proto-Arabic.md","case",NA,"Owens (1998)"
"543","Owens, 1998. Case in Proto-Arabic.md","historical-linguistics",NA,"Owens (1998)"
"544","Owens, 2001. Arabic Sociolinguistics.md","Arabic",NA,"Owens (2001)"
"545","Owens, 2001. Arabic Sociolinguistics.md","diglossia",NA,"Owens (2001)"
"546","Owens, 2001. Arabic Sociolinguistics.md","sociolinguistics",NA,"Owens (2001)"
"547","Owens, 2001. Arabic Sociolinguistics.md","code-switching",NA,"Owens (2001)"
"548","Owens, 2001. Arabic Sociolinguistics.md","review-article",NA,"Owens (2001)"
"549","Owens, 2001. Arabic Sociolinguistics.md","speech",NA,"Owens (2001)"
"550","Owens, 2005. The Arabic Grammatical Tradition and Arabic Language Teaching..md","Arabic",NA,"Owens (2005)"
"551","Owens, 2005. The Arabic Grammatical Tradition and Arabic Language Teaching..md","ALT",NA,"Owens (2005)"
"552","Owens, 2005. The Arabic Grammatical Tradition and Arabic Language Teaching..md","language-ideology",NA,"Owens (2005)"
"553","Owens, 2007. Yaʕni.md","Arabic",NA,"Owens (2007)"
"554","Owens, 2007. Yaʕni.md","lexicon",NA,"Owens (2007)"
"555","Owens, 2007. Yaʕni.md","pragmatics",NA,"Owens (2007)"
"556","Palfreyman, 2003. “A Funky Language for Teenzz to Use” Representing Gulf Arabic in Instant Messaging.md","CMC",NA,"Palfreyman (2003)"
"557","Palfreyman, 2003. “A Funky Language for Teenzz to Use” Representing Gulf Arabic in Instant Messaging.md","Arabic",NA,"Palfreyman (2003)"
"558","Palfreyman, 2003. “A Funky Language for Teenzz to Use” Representing Gulf Arabic in Instant Messaging.md","writing",NA,"Palfreyman (2003)"
"559","Palva, 1969. Notes on classicalization in Modern Colloquial Arabic.md","Arabic",NA,"Palva (1969)"
"560","Palva, 1969. Notes on classicalization in Modern Colloquial Arabic.md","diglossia",NA,"Palva (1969)"
"561","Palva, 1969. Notes on classicalization in Modern Colloquial Arabic.md","speech",NA,"Palva (1969)"
"562","Parkinson, 1981. VSO to SVO in Modern Standard Arabic.md","Arabic","Standard","Parkinson (1981)"
"563","Parkinson, 1981. VSO to SVO in Modern Standard Arabic.md","syntax",NA,"Parkinson (1981)"
"564","Parkinson, 1990. Orthographic Variation in Modern Standard Arabic - The Case of the Hamza.md","Arabic","Standard","Parkinson (1990)"
"565","Parkinson, 1990. Orthographic Variation in Modern Standard Arabic - The Case of the Hamza.md","language-ideology",NA,"Parkinson (1990)"
"566","Parkinson, 1990. Orthographic Variation in Modern Standard Arabic - The Case of the Hamza.md","orthography",NA,"Parkinson (1990)"
"567","Parkinson, 1991. Searching for Modern Fuṣḥa - Real-life Formal Arabic.md","Arabic","Standard","Parkinson (1991)"
"568","Parkinson, 1991. Searching for Modern Fuṣḥa - Real-life Formal Arabic.md","standard-language",NA,"Parkinson (1991)"
"569","Parkinson, 1992. Good Arabic - Ability and ideology in the Egyptian Arabic speech community.md","language-ideology",NA,"Parkinson (1992)"
"570","Parkinson, 1992. Good Arabic - Ability and ideology in the Egyptian Arabic speech community.md","Arabic","Standard","Parkinson (1992)"
